City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
323,hanceville,34.0607,-86.7675,24.75,48,19,5.47,US,1714327226
324,lubao,14.9167,120.55,30.84,79,31,2.71,PH,1714327226
325,vila franca do campo,37.7167,-25.4333,18.27,99,55,1.36,PT,1714327226
326,mpanda,-6.3655,31.0409,18.8,92,48,0.99,TZ,1714327226
327,bahia honda,22.9036,-83.1592,29.65,51,100,5.07,CU,1714327227
328,grabovo,53.3875,45.064,17.75,68,100,4.3,RU,1714327227
329,dryden,49.7833,-92.7503,0.16,74,100,4.12,CA,1714327227
330,andergrove,-21.0833,149.1833,22.34,79,13,6.27,AU,1714327227
331,rikaze,29.25,88.8833,7.67,21,42,2.37,CN,1714327227
332,koryazhma,61.3143,47.1691,4.39,76,100,1.67,RU,1714327228
333,mumbwa,-14.9783,27.0619,19.4,51,36,3.82,ZM,1714327228
334,sauri,11.7266,6.7837,37.35,9,100,4.76,NG,1714327228
335,fort stockton,30.894,-102.8793,24.86,17,0,6.6,US,1714327204
336,bang saphan,11.2126,99.5117,26.58,90,99,1.63,TH,1714327228
337,san patricio,28.017,-97.5169,28.05,79,90,5.1,US,1714327229
338,saint-joseph,-21.3667,55.6167,25.21,84,51,4.49,RE,1714327229
339,lionel town,17.8101,-77.2406,31.94,53,0,4.54,JM,1714327229
340,broken hill,-31.95,141.4333,14.5,33,81,2.36,AU,1714327229
341,ararat,39.8317,44.7049,17.19,18,11,2.46,AM,1714327227
342,polyarnyy,69.1989,33.4478,-3.98,83,29,2.99,RU,1714327230
343,papao,-17.75,-149.55,24.82,83,88,11.81,PF,1714327230
344,north bend,43.4065,-124.2243,13.48,76,100,2.57,US,1714327230
345,ulety,51.3572,112.4849,1.07,69,52,1.95,RU,1714327108
346,katsuura,35.1333,140.3,19.46,91,100,5.22,JP,1714327230
347,mwinilunga,-11.7358,24.4293,16.03,69,5,1.46,ZM,1714327230
348,solwezi,-12.1688,26.3894,15.23,74,7,1.89,ZM,1714327230
349,flying fish cove,-10.4217,105.6791,27.82,94,100,5.14,CX,1714327230
350,labrador city,52.9463,-66.9114,5.1,69,100,6.17,CA,1714327231
351,spring creek,40.7266,-115.5859,11.56,59,36,4.07,US,1714327231
352,pacasmayo,-7.4006,-79.5714,23.48,70,23,4.66,PE,1714327231
353,catia la mar,10.6038,-67.0303,30.11,79,40,2.57,VE,1714327220
354,tanda,26.55,82.65,31.4,14,46,3.61,IN,1714327231
355,mount isa,-20.7333,139.5,22.87,53,100,2.57,AU,1714327231
356,cesson-sevigne,48.1212,-1.603,11.98,76,56,1.54,FR,1714327211
357,hadibu,12.65,54.0333,29.59,75,27,4.4,YE,1714327231
358,baiyin,36.5583,104.2081,6.76,54,100,7.62,CN,1714327232
359,remire-montjoly,4.9167,-52.2667,25.02,100,75,2.57,GF,1714327232
360,port hedland,-20.3167,118.5667,23.03,64,0,3.6,AU,1714327232
361,jalqani,12.4486,34.2186,36.45,16,88,2.68,SD,1714327232
362,gilgit,35.9221,74.3087,9.15,70,85,0.96,PK,1714327232
363,usogorsk,63.4106,48.6872,-0.74,93,100,1.46,RU,1714327232
